Date,Open,High,Low,Close,Adj Close,Volume
2020-09-15,49.360001,49.759998,48.160000,48.799999,48.601837,10793850
2020-09-16,48.799999,54.480000,48.400002,54.000000,53.780724,31998313
2020-09-17,54.480000,57.439999,53.360001,56.400002,56.170979,32630038
2020-09-18,55.360001,57.119999,54.959999,55.040001,54.816498,18160100
2020-09-21,53.040001,53.200001,49.840000,50.799999,50.593719,20342450
2020-09-22,51.200001,52.639999,49.680000,50.000000,49.796970,17612625
2020-09-23,50.240002,51.360001,48.799999,48.880001,48.681519,11080588
2020-09-24,48.799999,49.439999,48.000000,48.480000,48.283142,11933725
2020-09-25,48.480000,49.360001,48.160000,48.880001,48.761982,9972338
2020-09-28,49.840000,50.480000,49.439999,49.599998,49.480240,10411600
2020-09-29,49.680000,49.840000,48.480000,48.959999,48.841782,9196450
2020-09-30,49.119999,50.320000,49.119999,49.840000,49.719666,12097700
2020-10-01,50.160000,50.320000,48.880001,49.919998,49.799465,9896950
2020-10-02,48.400002,51.200001,48.400002,51.119999,50.996574,11259550
2020-10-05,51.119999,51.599998,50.560001,51.279999,51.156185,7285450
2020-10-06,51.439999,52.639999,48.880001,49.360001,49.240818,21258275
2020-10-07,49.759998,51.200001,49.680000,50.480000,50.358116,10410763
2020-10-08,50.880001,53.360001,50.720001,53.200001,53.071548,12895913
2020-10-09,56.560001,56.560001,53.599998,54.720001,54.587883,21438438
2020-10-12,55.360001,55.360001,53.919998,54.639999,54.508072,11129550
2020-10-13,54.320000,54.560001,53.279999,53.759998,53.630196,9410950
2020-10-14,53.759998,55.119999,53.759998,54.560001,54.428268,12243588
2020-10-15,53.599998,55.040001,52.880001,54.959999,54.827297,11156588
2020-10-16,55.680000,58.799999,55.520000,58.320000,58.179188,21143413
2020-10-19,59.119999,59.759998,57.840000,58.320000,58.179188,16354638
2020-10-20,58.799999,59.360001,58.160000,58.720001,58.578224,12302513
2020-10-21,58.240002,59.279999,58.160000,58.560001,58.418606,9226388
2020-10-22,58.639999,62.000000,58.560001,61.759998,61.610882,11970863
2020-10-23,63.439999,64.239998,60.480000,61.040001,60.892620,16570400
2020-10-26,59.680000,60.480000,58.240002,59.040001,58.897449,13031800
2020-10-27,59.200001,59.200001,56.720001,56.799999,56.662853,12271250
2020-10-28,60.080002,62.880001,59.279999,59.360001,59.216675,31686763
2020-10-29,61.279999,61.919998,58.480000,58.959999,58.817642,15412250
2020-10-30,58.720001,60.320000,58.320000,59.360001,59.216675,12796263
2020-11-02,60.000000,60.639999,58.639999,60.160000,60.014744,13609788
2020-11-03,61.200001,63.360001,60.320000,62.799999,62.648369,12234063
2020-11-04,61.520000,64.160004,60.240002,62.799999,62.648369,15865638
2020-11-05,63.599998,64.400002,63.279999,63.919998,63.765663,10725850
